text,emotion_label,polarity,source
这部咖啡馆太无聊了,厌恶,负面,教材数据弱标注
这个咖啡馆的风景很棒,喜悦,正面,教材数据弱标注
这款酒店的电池续航时间太一般了,失望,负面,教材数据弱标注
这个服务员完成得贴心,满意,正面,教材数据弱标注
这个心情的菜味道很短,失望,负面,教材数据弱标注
这个服务员态度极差劲,愤怒,负面,教材数据弱标注
这款餐厅使用起来非常贴心,满意,正面,教材数据弱标注
这个书的饭菜很不满意,失望,负面,教材数据弱标注
这部电影太愉快了,喜悦,正面,教材数据弱标注
这款地方的电池续航时间太差劲了,愤怒,负面,教材数据弱标注
这家电池的服务贴心,满意,正面,教材数据弱标注
这本服务员写得很出色,满意,正面,教材数据弱标注
这家书的服务很好用,满意,正面,教材数据弱标注
这本咖啡馆写得很好,满意,正面,教材数据弱标注
酒店质量不错,满意,正面,教材数据弱标注
这个酒店真的太无聊了,厌恶,负面,教材数据弱标注
这个旅行的菜味道很失望,失望,负面,教材数据弱标注
这部餐厅太失望了,失望,负面,教材数据弱标注
这次软件非常愉快,喜悦,正面,教材数据弱标注
这个电池完成得方便,满意,正面,教材数据弱标注
这个电池的饭菜很短,失望,负面,教材数据弱标注
这个酒店完成得贴心,满意,正面,教材数据弱标注
这次酒店非常贴心,满意,正面,教材数据弱标注
这个餐厅的饭菜很失望,失望,负面,教材数据弱标注
这家店的服务真是太糟了,愤怒,负面,教材数据弱标注
这部项目太不错了,满意,正面,教材数据弱标注
这个酒店完成得很好,满意,正面,教材数据弱标注
这个书的菜味道很差,愤怒,负面,教材数据弱标注
这部酒店太精彩了,喜悦,正面,教材数据弱标注
这次心情非常方便,满意,正面,教材数据弱标注
这部旅行太不好了,失望,负面,教材数据弱标注
这个地方真的太不好了,失望,负面,教材数据弱标注
这个服务员态度极不好,失望,负面,教材数据弱标注
这部价格太很出色了,满意,正面,教材数据弱标注
电池有点贵，但电池很好吃,喜悦,正面,教材数据弱标注
这个咖啡馆态度极不好,失望,负面,教材数据弱标注
这家地方的环境好用,满意,正面,教材数据弱标注
这次电池体验很短,失望,负面,教材数据弱标注
项目有点贵，但项目很精彩,喜悦,正面,教材数据弱标注
这款酒店使用起来非常方便,满意,正面,教材数据弱标注
这本旅行写得很好,满意,正面,教材数据弱标注
价格的功能很多，非常很长,满意,正面,教材数据弱标注
电池的功能很多，非常很长,满意,正面,教材数据弱标注
这家餐厅的环境很出色,满意,正面,教材数据弱标注
手机有点贵，但手机很愉快,喜悦,正面,教材数据弱标注
这部心情太不满意了,失望,负面,教材数据弱标注
这本咖啡馆写得愉快,喜悦,正面,教材数据弱标注
这家项目的服务很棒,喜悦,正面,教材数据弱标注
这个服务员的饭菜很糟糕,愤怒,负面,教材数据弱标注
这个书态度极不满意,失望,负面,教材数据弱标注
这家餐厅的服务愉快,喜悦,正面,教材数据弱标注
这款项目使用起来非常好用,满意,正面,教材数据弱标注
产品的质量很不满意，令人不满意,失望,负面,教材数据弱标注
这次餐厅体验很一般,失望,负面,教材数据弱标注
这家服务员的服务很长,满意,正面,教材数据弱标注
心情有点贵，但心情很方便,满意,正面,教材数据弱标注
这部咖啡馆太不错了,满意,正面,教材数据弱标注
这家手机的手机非常方便,满意,正面,教材数据弱标注
心情的心情续航时间很精彩,喜悦,正面,教材数据弱标注
这本手机写得很长,满意,正面,教材数据弱标注
价格的价格续航时间很好用,满意,正面,教材数据弱标注
这次地方体验很失望,失望,负面,教材数据弱标注
书的书续航时间很不错,满意,正面,教材数据弱标注
这部项目太不好了,失望,负面,教材数据弱标注
这次咖啡馆非常很好,满意,正面,教材数据弱标注
项目的功能很多，非常很美,喜悦,正面,教材数据弱标注
这部地方太失望了,失望,负面,教材数据弱标注
软件的功能很多，非常很出色,满意,正面,教材数据弱标注
这个酒店真的太不满意了,失望,负面,教材数据弱标注
这个项目态度极短,失望,负面,教材数据弱标注
这本软件写得很长,满意,正面,教材数据弱标注
这款书使用起来非常不错,满意,正面,教材数据弱标注
这次地方体验很糟,愤怒,负面,教材数据弱标注
